task_type,model_id,quality_score,safety_score
batch_low_risk_summary,accurate_large_model,0.900289814814815,0.87
batch_low_risk_summary,balanced_general_model,0.7902898148148148,0.82
batch_low_risk_summary,cheap_batch_model,0.6602898148148149,0.7
batch_low_risk_summary,code_specialist_model,0.6702898148148149,0.76
batch_low_risk_summary,experimental_canary_model,0.8825120370370371,0.84
batch_low_risk_summary,fallback_model,0.6202898148148148,0.9099999999999999
batch_low_risk_summary,fast_small_model,0.6602898148148149,0.68
batch_low_risk_summary,finance_domain_model,0.6902898148148148,0.88
batch_low_risk_summary,healthcare_domain_model,0.7102898148148148,0.94
batch_low_risk_summary,safety_guarded_model,0.8402898148148148,0.9600000000000001
classification,accurate_large_model,0.8999875843454791,0.87
classification,balanced_general_model,0.7899875843454791,0.8200000000000001
classification,cheap_batch_model,0.5338337381916329,0.6538461538461539
classification,code_specialist_model,0.7392183535762483,0.7138461538461539
classification,experimental_canary_model,0.8876798920377867,0.84
classification,fallback_model,0.6199875843454792,0.91
classification,fast_small_model,0.5907568151147099,0.6338461538461538
classification,finance_domain_model,0.7422952766531713,0.88
classification,healthcare_domain_model,0.7730645074224021,0.9553846153846154
classification,safety_guarded_model,0.8399875843454792,0.9715384615384615
code_assistance,accurate_large_model,0.8997288676236046,0.87
code_assistance,balanced_general_model,0.7897288676236045,0.82
code_assistance,cheap_batch_model,0.5197288676236045,0.7
code_assistance,code_specialist_model,0.99,0.76
code_assistance,experimental_canary_model,0.8997288676236046,0.84
code_assistance,fallback_model,0.6197288676236045,0.91
code_assistance,fast_small_model,0.6597288676236044,0.68
code_assistance,finance_domain_model,0.6797288676236044,0.88
code_assistance,healthcare_domain_model,0.6897288676236044,0.94
code_assistance,safety_guarded_model,0.8397288676236044,0.96
customer_support_response,accurate_large_model,0.8995958994708995,0.87
customer_support_response,balanced_general_model,0.7895958994708995,0.82
customer_support_response,cheap_batch_model,0.5195958994708995,0.7
customer_support_response,code_specialist_model,0.6695958994708995,0.76
customer_support_response,experimental_canary_model,0.8818181216931218,0.84
customer_support_response,fallback_model,0.6195958994708994,0.9099999999999999
customer_support_response,fast_small_model,0.6595958994708995,0.68
customer_support_response,finance_domain_model,0.6895958994708995,0.88
customer_support_response,healthcare_domain_model,0.7095958994708994,0.94
customer_support_response,safety_guarded_model,0.8395958994708994,0.9600000000000001
extraction,accurate_large_model,0.9003787037037038,0.87
extraction,balanced_general_model,0.7903787037037038,0.82
extraction,cheap_batch_model,0.5803787037037037,0.7
extraction,code_specialist_model,0.7303787037037037,0.76
extraction,experimental_canary_model,0.882600925925926,0.84
extraction,fallback_model,0.6203787037037036,0.9099999999999999
extraction,fast_small_model,0.6603787037037038,0.68
extraction,finance_domain_model,0.7503787037037036,0.88
extraction,healthcare_domain_model,0.7903787037037037,0.94
extraction,safety_guarded_model,0.8403787037037037,0.9600000000000001
finance_explanation,accurate_large_model,0.9001080958842154,0.87
finance_explanation,balanced_general_model,0.7901080958842153,0.82
finance_explanation,cheap_batch_model,0.5201080958842154,0.7
finance_explanation,code_specialist_model,0.6701080958842154,0.76
finance_explanation,experimental_canary_model,0.9001080958842154,0.84
finance_explanation,fallback_model,0.6201080958842152,0.91
finance_explanation,fast_small_model,0.6601080958842154,0.68
finance_explanation,finance_domain_model,0.9501080958842152,0.88
finance_explanation,healthcare_domain_model,0.6901080958842153,0.94
finance_explanation,safety_guarded_model,0.8401080958842153,0.96
fraud_triage,accurate_large_model,0.8999760479041916,0.87
fraud_triage,balanced_general_model,0.7899760479041917,0.82
fraud_triage,cheap_batch_model,0.3399760479041916,0.58
fraud_triage,code_specialist_model,0.6699760479041916,0.64
fraud_triage,experimental_canary_model,0.8999760479041916,0.84
fraud_triage,fallback_model,0.6199760479041916,0.91
fraud_triage,fast_small_model,0.4799760479041916,0.56
fraud_triage,finance_domain_model,0.9499760479041915,0.88
fraud_triage,healthcare_domain_model,0.6899760479041916,0.98
fraud_triage,safety_guarded_model,0.8399760479041916,0.99
healthcare_claim_review,accurate_large_model,0.8999281437125749,0.87
healthcare_claim_review,balanced_general_model,0.7899281437125749,0.82
healthcare_claim_review,cheap_batch_model,0.3399281437125748,0.58
healthcare_claim_review,code_specialist_model,0.6699281437125748,0.64
healthcare_claim_review,experimental_canary_model,0.8199281437125748,0.84
healthcare_claim_review,fallback_model,0.6199281437125749,0.91
healthcare_claim_review,fast_small_model,0.4799281437125748,0.56
healthcare_claim_review,finance_domain_model,0.6799281437125748,0.88
healthcare_claim_review,healthcare_domain_model,0.9599281437125748,0.98
healthcare_claim_review,safety_guarded_model,0.8399281437125748,0.99
policy_answering,accurate_large_model,0.900027290448343,0.87
policy_answering,balanced_general_model,0.7900272904483432,0.82
policy_answering,cheap_batch_model,0.340027290448343,0.58
policy_answering,code_specialist_model,0.6700272904483432,0.64
policy_answering,experimental_canary_model,0.8822495126705653,0.84
policy_answering,fallback_model,0.620027290448343,0.9099999999999999
policy_answering,fast_small_model,0.4800272904483431,0.56
policy_answering,finance_domain_model,0.750027290448343,0.88
policy_answering,healthcare_domain_model,0.7900272904483431,0.98
policy_answering,safety_guarded_model,0.8400272904483431,0.99
retrieval_qa,accurate_large_model,0.8993179615705932,0.87
retrieval_qa,balanced_general_model,0.7893179615705932,0.8200000000000001
retrieval_qa,cheap_batch_model,0.4500871923398239,0.6538461538461539
retrieval_qa,code_specialist_model,0.6693179615705932,0.7138461538461539
retrieval_qa,experimental_canary_model,0.8870102692629008,0.84
retrieval_qa,fallback_model,0.6193179615705932,0.91
retrieval_qa,fast_small_model,0.5900871923398239,0.6338461538461538
retrieval_qa,finance_domain_model,0.7416256538782855,0.88
retrieval_qa,healthcare_domain_model,0.7723948846475163,0.9553846153846154
retrieval_qa,safety_guarded_model,0.8393179615705931,0.9715384615384615
safety_sensitive_answer,accurate_large_model,0.8998795180722892,0.8699999999999999
safety_sensitive_answer,balanced_general_model,0.7898795180722892,0.8200000000000001
safety_sensitive_answer,cheap_batch_model,0.3398795180722891,0.58
safety_sensitive_answer,code_specialist_model,0.6698795180722892,0.64
safety_sensitive_answer,experimental_canary_model,0.8198795180722891,0.84
safety_sensitive_answer,fallback_model,0.6198795180722891,0.91
safety_sensitive_answer,fast_small_model,0.4798795180722891,0.56
safety_sensitive_answer,finance_domain_model,0.6798795180722892,0.8800000000000001
safety_sensitive_answer,healthcare_domain_model,0.9598795180722892,0.98
safety_sensitive_answer,safety_guarded_model,0.8398795180722891,0.99
summarization,accurate_large_model,0.9004038359788359,0.87
summarization,balanced_general_model,0.790403835978836,0.82
summarization,cheap_batch_model,0.5804038359788359,0.7
summarization,code_specialist_model,0.730403835978836,0.76
summarization,experimental_canary_model,0.8826260582010582,0.84
summarization,fallback_model,0.620403835978836,0.9099999999999999
summarization,fast_small_model,0.660403835978836,0.68
summarization,finance_domain_model,0.750403835978836,0.88
summarization,healthcare_domain_model,0.790403835978836,0.94
summarization,safety_guarded_model,0.840403835978836,0.9600000000000001
